Cluster_ID,Categoria_Nombre,Title,Link
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Editorial: Revisiting the limits of plant life - plant adaptations to extreme terrestrial environments relating to astrobiology and space biology.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10472590/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Gravity signaling in flowering plant roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Functional consequences of radiation-induced oxidative stress in cultured neural stem cells and the brain exposed to charged particle irradiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3936501/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)","The Effect of spaceflight on mouse olfactory bulb volume, neurogenesis, and cell death indicates the protective effect of novel environment.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4152162/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Characterization of the Salmonella enterica serovar Typhimurium ydcI gene which encodes a conserved DNA binding protein required for full acid stress resistance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3133089/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Spaceflight enhances cell aggregation and random budding in Candida albicans.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3851762/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)","Secretome profiling reveals acute changes in oxidative stress, brain homeostasis, and coagulation following short-duration spaceflight",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166969/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Comparison of Microgravity Analogs to Spaceflight in Studies of Plant Growth and Development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6908503/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Fundamental plant biology enabled by the space shuttle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6143729/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Conducting plant experiments in space and on the Moon,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10764921/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Red light enhances plant adaptation to spaceflight and Mars g-levels.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9605285/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Plant growth strategies are remodeled by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11869762/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",HSFA2 Functions in the Physiological Adaptation of Undifferentiated Plant Cells to Spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6359015/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",ARG1 Functions in the Physiological Adaptation of Undifferentiated Plant Cells to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8024390/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Plants grown in Apollo lunar regolith present stress-associated transcriptomes that inform prospects for lunar exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9098553/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Hardware validation of the Advanced Plant Habitat on ISS: Canopy photosynthesis in reduced gravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7314936/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Phosphoinositide-signaling is one component of a robust plant defense response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4052902/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/
0,"Biología Espacial y Humana (plant, cell, stress, stem...)",Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/
